Source	Size
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/Routes.scala	6586
https:/raw.githubusercontent.com/scala/v2.12.10/math/Ordering.scala	6546
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/IntMap.scala	6492
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Breadcrumb.scala	6491
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/issues/CustomIssueTypes.scala	6399
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/IssuesPage.scala	6398
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/AsyncCallback.scala	6356
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalanglib/java/lang/Integer.scala	6327
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/ProjectContent.scala	6274
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Style.scala	6270
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/Toast.scala	6262
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/Dsl.scala	6244
https:/raw.githubusercontent.com/scala/v2.12.10/collection/generic/GenericCompanion.scala	6236
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Attr.scala	6174
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Values.scala	6072
https:/raw.githubusercontent.com/scala-js/v0.6.32/library/scala/scalajs/runtime/StackTrace.scala	6051
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Reusable.scala	6043
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/UseCaseStepEditor.scala	6001
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Dropdown.scala	5978
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Attr.scala	5968
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/SavedViewsUI.scala	5926
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/TableRow.scala	5805
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/reqtable/Column.scala	5785
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ReqCodeEditor.scala	5756
file:/shipreq/webapp-base-member/shipreq/webapp/base/event/RetiredGenericData.scala	5722
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/common.scala	5694
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/Pubid.scala	5674
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/Formatter.scala	5644
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/render/FieldKey.scala	5623
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/deletion/DeletionForm.scala	5618
file:/shipreq/webapp-base-member/shipreq/webapp/base/protocol/websocket/CreateContentCmd.scala	5607
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/shared/EditorExt.scala	5594
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Form.scala	5553
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/Router.scala	5538
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Renderer.scala	5520
file:/shipreq/webapp-base/shipreq/webapp/base/feature/tablenav/VirtualTable.scala	5495
file:/shipreq/webapp-base-member/shipreq/webapp/base/issue/Issues.scala	5449
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/ProjectConfig.scala	5429
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/regex/GroupStartMapper.scala	5379
https:/raw.githubusercontent.com/scala-js/v0.6.32/tools/scalajsenv.js	5372
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/reqtable/SortCriteria.scala	5311
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/generated.scala	5274
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/TagEditor.scala	5241
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/Table.scala	5216
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/FilterEditor.scala	5154
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/RichTextEditorHelp.scala	5137
https:/raw.githubusercontent.com/japgolly/microlibs-scala/v2.0/japgolly/microlibs/stdlib_ext/StdlibExt.scala	5130
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ViewReq.scala	5109
https:/raw.githubusercontent.com/japgolly/microlibs-scala/v2.0/japgolly/microlibs/utils/StaticLookupFn.scala	5101
file:/shipreq/webapp-base-member/shipreq/webapp/base/ui/ProjectItem.scala	5051
https:/raw.githubusercontent.com/scala-js/v0.6.32/scalalib/overrides-2.12/scala/collection/immutable/NumericRange.scala	4998
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config_old/shared/SavedRowStore.scala	4962
https:/raw.githubusercontent.com/scala/v2.12.10/math/Numeric.scala	4933
https:/raw.githubusercontent.com/scala/v2.12.10/collection/mutable/SetBuilder.scala	4914
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/GrammarSpec.scala	4911
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/CustomIssueType.scala	4850
file:/shipreq/webapp-base-member/shipreq/webapp/base/lib/ModalForm.scala	4792
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/reqtable/View.scala	4790
file:/shipreq/webapp-base-member/shipreq/webapp/base/lib/KeyboardTheme.scala	4783
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/websocket/WebSocket.scala	4739
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/editor/PotentialValue.scala	4673
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/PlainText.scala	4659
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/scalaz-7.2/internal/ScalazReactState.scala	4598
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/tags/TagTreeView.scala	4597
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ColourPicker.scala	4579
https:/raw.githubusercontent.com/julien-truffaut/Monocle/v1.6.0/core/monocle/Iso.scala	4565
file:/shipreq/webapp-base-member/shipreq/webapp/base/event/ApplyOtherEvent.scala	4559
file:/shipreq/webapp-base-member/shipreq/webapp/base/event/ApplyEvent.scala	4545
file:/shipreq/webapp-base/shipreq/webapp/base/protocol/websocket/WebSocketShared.scala	4509
file:/shipreq/base-util/shipreq/base/util/PotentialChange.scala	4501
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/editor/RowKey.scala	4476
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/Implicits.scala	4452
file://localhome/doeraene/projects/scalajs-java-time/java/time/temporal/ChronoField.scala	4445
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ButtonAndDropdown.scala	4445
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/render/Feature.scala	4380
file:/shipreq/webapp-client-ww-api/shipreq/webapp/client/ww/api/Cmd.scala	4352
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/LiveDeadStat.scala	4303
file:/shipreq/webapp-base/shipreq/webapp/base/feature/tablenav/TableCellZipper.scala	4297
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Statistic.scala	4287
https:/raw.githubusercontent.com/scala/v2.12.10/collection/IterableViewLike.scala	4276
https:/raw.githubusercontent.com/scala/v2.12.10/collection/immutable/BitSet.scala	4256
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlTags.scala	4252
file:/shipreq/webapp-base/shipreq/webapp/base/feature/tablenav/TableNavKeys.scala	4246
https:/raw.githubusercontent.com/scala-js/v0.6.32/javalib/java/util/Arrays.scala	4242
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqdetail/UseCaseStepRow.scala	4234
file://localhome/doeraene/projects/scalajs-java-time/java/time/LocalDate.scala	4231
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/router/RoutingRules.scala	4231
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/reqtable/Sorter.scala	4217
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/feature/create/RowKey.scala	4195
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/component/builder/Builder.scala	4195
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/FlatTag.scala	4171
